SSN,address,city,state,zip,first_name,last_name,user,pass,manager,teller,customer
423453245,114 North 4th,Clarkesdale,MO,64493,Ronald ,Jones,rjones,123,TRUE,FALSE,FALSE
345653425,1805 Jules,St.  Joseph,MO,64503,Mark,Ingrem,mingrem,123,FALSE,TRUE,FALSE
423148894,2109 Sylviana,St.  Joseph,MO,64501,Sherry,Harrison,sharrison,123,FALSE,TRUE,FALSE
677879013,4305 West 3rd,Wathena,KS,54910,John,Morgeson,jmorgenson,123,FALSE,FALSE,TRUE
345599870,221 South Highly St. ,St.  Joseph,MO,64503,Gary,Gilkerson,ggilkerson,123,FALSE,FALSE,TRUE
423567890,335 Jules,St.  Joseph,MO,64503,Mary,Francis,mfrancis,123,FALSE,FALSE,TRUE
345812332,1402 Mocking Bird,St.  Joseph,MO,64502,Carolyn,Johnson,cjohnson,123,FALSE,FALSE,TRUE
345879912,2105 Senior Dr. ,St.  Joseph,MO,64503,Larry,Waite,lwaite,123,FALSE,FALSE,TRUE
423168945,1801 Lovers Ln,St.  Joseph,MO,64502,Marilyn,Macklin,mmacklin,123,FALSE,FALSE,TRUE
235445789,2508 Stonecrest,St.  Joseph,MO,64501,Lana,McGlynn,lmcglynn,123,FALSE,FALSE,TRUE
436789213,4156 N. Mulbury St. ,St.  Joseph,MO,64502,John ,Munzer,jmunzer,123,FALSE,FALSE,TRUE
233435656,1525 Kioa ,Ellwood,KS,56708,Mary,White,mwhite,123,FALSE,FALSE,TRUE
435678787,8902 Martha Ln,Gower,MO,6330!,Jerry,Gronius,jgronius,123,FALSE,FALSE,TRUE
563432913,1532 Lovers Ln,St.  Joseph,MO,64502,Martin,Williams,mwilliams,123,FALSE,FALSE,TRUE
345679898,703 Park Ln,St.  Joseph,MO,6450!,Broderick,Jones,bjones,123,FALSE,FALSE,TRUE
